tweet_id,favorites,retweets,user_followers,user_favourites,date_time
768554158521745409,0,6303,7690779,140762,2016-08-24 21:02:45
768473857036525572,14450,3708,7690779,140762,2016-08-24 15:43:39
768193404517830656,11546,3831,7690780,140762,2016-08-23 21:09:14
767884188863397888,5028,1516,7690780,140762,2016-08-23 00:40:31
767754930266464257,16968,5813,7690780,140762,2016-08-22 16:06:54
767500508068192258,7915,2522,7690780,140762,2016-08-21 23:15:55
767191397493538821,12986,4112,7690780,140762,2016-08-21 02:47:37
767122157629476866,10720,3076,7690780,140762,2016-08-20 22:12:29
766864461642756096,0,6110,7690780,140762,2016-08-20 05:08:29
766793450729734144,5372,1468,7690780,140762,2016-08-20 00:26:19
766714921925144576,2759,419,7690780,140762,2016-08-19 19:14:16
766693177336135680,4262,856,7690780,140762,2016-08-19 17:47:52
766423258543644672,6368,1727,7690780,140762,2016-08-18 23:55:18
766313316352462849,7180,2031,7690780,140762,2016-08-18 16:38:26
766078092750233600,0,2810,7690781,140762,2016-08-18 01:03:45
766069199026450432,4525,928,7690781,140762,2016-08-18 00:28:24
766008592277377025,3965,534,7690781,140762,2016-08-17 20:27:34
765719909049503744,7662,2323,7690781,140762,2016-08-17 01:20:27
765669560888528897,5495,1317,7690781,140762,2016-08-16 22:00:23
765395769549590528,27982,3669,7690781,140762,2016-08-16 03:52:26
765371061932261376,7507,2333,7690781,140762,2016-08-16 02:14:15
765222098633691136,12298,3657,7690781,140762,2016-08-15 16:22:20
764857477905154048,6800,1911,7690781,140762,2016-08-14 16:13:27
764259802650378240,6399,1635,7690781,140762,2016-08-13 00:38:30
763956972077010945,784,58,7690781,140762,2016-08-12 04:35:10
763837565564780549,13324,4507,7690781,140762,2016-08-11 20:40:41
763183847194451968,5710,1588,7690781,140762,2016-08-10 01:23:03
763167063695355904,0,3252,7690781,140762,2016-08-10 00:16:21
763103485927849985,7786,2462,7690781,140762,2016-08-09 20:03:43
762699858130116608,12859,3912,7690781,140762,2016-08-08 17:19:51
762471784394268675,11928,6988,7690781,140762,2016-08-08 02:13:34
762464539388485633,10904,4532,7690781,140762,2016-08-08 01:44:46
762316489655476224,5095,1217,7690781,140762,2016-08-07 15:56:28
762035686371364864,33824,16843,7690781,140762,2016-08-06 21:20:40
761976711479193600,5706,2182,7690781,140762,2016-08-06 17:26:19
761750502866649088,0,4245,7690781,140762,2016-08-06 02:27:27
761745352076779520,4495,928,7690781,140762,2016-08-06 02:06:59
761672994376806400,52399,31326,7690781,140762,2016-08-05 21:19:27
761599872357261312,4366,1267,7690781,140762,2016-08-05 16:28:54
761371037149827077,0,19375,7690780,140762,2016-08-05 01:19:35
761334018830917632,5492,1566,7690780,140762,2016-08-04 22:52:29
761292947749015552,4717,1184,7690780,140762,2016-08-04 20:09:17
761227390836215808,5611,1678,7690780,140762,2016-08-04 15:48:47
761004547850530816,11952,3741,7690780,140762,2016-08-04 01:03:17
760893934457552897,4037,1052,7690780,140762,2016-08-03 17:43:45
760656994973933572,6974,2078,7690780,140762,2016-08-03 02:02:14
760641137271070720,5231,1392,7690780,140762,2016-08-03 00:59:13
760539183865880579,8008,3913,7690780,140762,2016-08-02 18:14:06
760521673607086080,4466,1509,7690780,140762,2016-08-02 17:04:31
760290219849637889,28350,12383,7690780,140762,2016-08-02 01:44:48
760252756032651264,4157,933,7690780,140762,2016-08-01 23:15:56
760190180481531904,6016,1948,7690780,140762,2016-08-01 19:07:17
760153949710192640,0,34,7690780,140762,2016-08-01 16:43:19
759943073749200896,6270,2253,7690780,140762,2016-08-01 02:45:22
759923798737051648,15508,6110,7690780,140762,2016-08-01 01:28:46
759846353224826880,7092,2137,7690780,140762,2016-07-31 20:21:02
759793422261743616,6295,2047,7690780,140762,2016-07-31 16:50:42
759566828574212096,0,22752,7690780,140762,2016-07-31 01:50:18
759557299618865152,4961,1264,7690781,140762,2016-07-31 01:12:26
759447681597108224,8964,2638,7690781,140762,2016-07-30 17:56:51
759446261539934208,1765,522,7690781,140762,2016-07-30 17:51:13
759197388317847553,6391,2099,7690781,140762,2016-07-30 01:22:17
759159934323924993,0,1249,7690781,140762,2016-07-29 22:53:27
759099523532779520,15332,4498,7690781,140762,2016-07-29 18:53:24
759047813560868866,6872,2177,7690782,140762,2016-07-29 15:27:55
758854675097526272,3749,962,7690783,140762,2016-07-29 02:40:28
758828659922702336,11795,4132,7690783,140762,2016-07-29 00:57:05
758740312047005698,6047,1729,7690793,140762,2016-07-28 19:06:01
758474966123810816,4033,1070,7690793,140762,2016-07-28 01:31:38
758467244762497024,5076,2402,7690793,140762,2016-07-28 01:00:57
758405701903519748,5491,2080,7690793,140762,2016-07-27 20:56:24
758355060040593408,3621,1168,7690793,140762,2016-07-27 17:35:10
758099635764359168,20255,10857,7690793,140762,2016-07-27 00:40:12
758041019896193024,2858,403,7690793,140762,2016-07-26 20:47:17
757741869644341248,7270,3502,7690793,140762,2016-07-26 00:58:34
757729163776290825,0,8727,7690793,140762,2016-07-26 00:08:05
757725642876129280,4787,1310,7690793,140762,2016-07-25 23:54:05
757611664640446465,4804,1202,7690794,140762,2016-07-25 16:21:11
757597904299253760,0,314,7690794,140762,2016-07-25 15:26:30
757596066325864448,4589,1139,7690794,140762,2016-07-25 15:19:12
757400162377592832,15977,7363,7690794,140762,2016-07-25 02:20:45
757393109802180609,6152,1883,7690794,140762,2016-07-25 01:52:43
757354760399941633,4759,1532,7690794,140762,2016-07-24 23:20:20
756998049151549440,6615,2136,7690794,140762,2016-07-23 23:42:53
756939218950160384,7018,2165,7690794,140762,2016-07-23 19:49:07
756651752796094464,5338,1409,7690794,140762,2016-07-23 00:46:50
756526248105566208,10969,3890,7690794,140762,2016-07-22 16:28:07
756303284449767430,4159,1167,7690794,140762,2016-07-22 01:42:09
756288534030475264,45165,18805,7690794,140762,2016-07-22 00:43:32
756275833623502848,6777,1637,7690794,140762,2016-07-21 23:53:04
755955933503782912,7733,3110,7690794,140762,2016-07-21 02:41:54
755206590534418437,17360,5799,7690794,140762,2016-07-19 01:04:16
755110668769038337,22379,11928,7690794,140762,2016-07-18 18:43:07
754874841593970688,0,8607,7690794,140762,2016-07-18 03:06:01
754856583969079297,7246,2719,7690794,140762,2016-07-18 01:53:28
754747087846248448,2712,561,7690794,140762,2016-07-17 18:38:22
754482103782404096,5586,2098,7690794,140762,2016-07-17 01:05:25
754449512966619136,3948,789,7690794,140762,2016-07-16 22:55:55
754120377874386944,8259,2516,7690794,140762,2016-07-16 01:08:03
753655901052166144,6157,2337,7690794,140762,2016-07-14 18:22:23
753420520834629632,8356,3839,7690794,140762,2016-07-14 02:47:04
753398408988139520,6087,2067,7690794,140762,2016-07-14 01:19:12
753375668877008896,8033,2507,7690794,140762,2016-07-13 23:48:51
753298634498793472,0,6186,7690794,140762,2016-07-13 18:42:44
753294487569522689,3574,1120,7690794,140762,2016-07-13 18:26:16
753039830821511168,39126,22521,7690794,140762,2016-07-13 01:34:21
753026973505581056,4102,1049,7690794,140762,2016-07-13 00:43:15
752932432744185856,13307,7350,7690794,140762,2016-07-12 18:27:35
752917284578922496,7265,1696,7690794,140762,2016-07-12 17:27:23
752701944171524096,0,3110,7690794,140762,2016-07-12 03:11:42
752682090207055872,6298,1725,7690794,140762,2016-07-12 01:52:49
752660715232722944,4644,1695,7690794,140762,2016-07-12 00:27:52
752568224206688256,5814,2455,7690794,140762,2016-07-11 18:20:21
752519690950500352,7763,3704,7690794,140762,2016-07-11 15:07:30
752334515931054080,4018,1184,7690794,140762,2016-07-11 02:51:40
752309394570878976,0,17952,7690794,140762,2016-07-11 01:11:51
752173152931807232,6262,1985,7690794,140762,2016-07-10 16:10:29
751950017322246144,3236,999,7690795,140762,2016-07-10 01:23:49
751937170840121344,5485,1446,7690795,140762,2016-07-10 00:32:46
751830394383790080,6110,2105,7690795,140762,2016-07-09 17:28:29
751793661361422336,6178,3128,7690795,140762,2016-07-09 15:02:31
751598357617971201,8311,3268,7690795,140762,2016-07-09 02:06:27
751583847268179968,4633,1194,7690795,140762,2016-07-09 01:08:47
751538714308972544,5302,1358,7690795,140762,2016-07-08 22:09:27
751456908746354688,3368,1074,7690795,140762,2016-07-08 16:44:23
751251247299190784,13147,6302,7690795,140762,2016-07-08 03:07:09
751205363882532864,6638,1966,7690795,140762,2016-07-08 00:04:50
751132876104687617,5344,1397,7690795,140762,2016-07-07 19:16:47
750868782890057730,5026,1485,7690795,140762,2016-07-07 01:47:22
750719632563142656,13899,5411,7690795,140762,2016-07-06 15:54:42
750506206503038976,4673,1234,7690795,140762,2016-07-06 01:46:38
750429297815552001,13868,4622,7690795,140762,2016-07-05 20:41:01
750383411068534784,4787,1221,7690795,140762,2016-07-05 17:38:41
750381685133418496,724,30,7690795,140762,2016-07-05 17:31:49
750147208377409536,3261,1036,7690795,140762,2016-07-05 02:00:06
750132105863102464,3822,1367,7690795,140762,2016-07-05 01:00:05
750117059602808832,4561,1394,7690795,140762,2016-07-05 00:00:18
750101899009982464,3189,905,7690795,140762,2016-07-04 23:00:03
750086836815486976,2285,584,7690795,140762,2016-07-04 22:00:12
